@relation Ekstraksi Warna Angka Delapan dan Angka Sembilan
@attribute b real
@attribute g real
@attribute r real
@attribute class string
@data
22.689671361502345,22.689671361502345,22.689671361502345,'Delapan'
18.29912451361867,18.29912451361867,18.29912451361867,'Delapan'
15.346810422282124,15.234052111410602,15.477538185085358,'Delapan'
17.09167033935654,17.026884089907444,17.21330982811811,'Delapan'
18.023788927335637,18.023788927335637,18.023788927335637,'Delapan'
14.779764500654162,14.779764500654162,14.779764500654162,'Delapan'
18.20623206232062,18.20623206232062,18.20623206232062,'Delapan'
9.853617021276598,9.853617021276598,9.853617021276598,'Satu'
10.073851438385573,10.073851438385573,10.073851438385573,'Satu'
9.330372250423013,9.330372250423013,9.330372250423013,'Satu'
8.916631929970816,8.916631929970816,8.916631929970816,'Satu'
8.84628031237156,8.84628031237156,8.84628031237156,'Satu'
8.982706441850414,8.982706441850414,8.982706441850414,'Satu'
10.475338280226978,10.475338280226978,10.475338280226978,'Satu'
